numero,score_site,texto_relato,label_ia,data_coleta,qtd_gatilhos
30265,8,de golpe Deram um codigo falso de migraçao de conta que nunca pedi.,1,19/03/2026,2
30265,8,Agência de cobrança Recebi SMS do número 30265 dizendo:ADIRCO AJA AGORA! NEGATIVACAO E PROTESTO IMINENTE. RESOLVA SEU DEBITO! REGULARIZE HOJE COM DESCONTO LIGUE 0800.050.0233Pois não possuo nenhuma dívida ou ônus com qualquer tipo de Instituição Financeira !RODRIGAL Também recebi essa msg com o número 0800 050 0233. Liguei e fui atendido por uma mulher e depois fui transferido para uma outra pessoa. Eles disseram que eu tinha uma dívida de mais 6000 reais. Recebi essa mensagem por 02 vezes.,1,19/03/2026,1
30265,8,"acredito q seja da empresas juvo empréstimos, eles estão usando para pegar dados para poder hackear as contas dos usuários, mas tbm n tenho certeza.eles me mandaram msg por esse número e logo depois aparecem msg pedindo codigos suspeitos e tbm codigo de confirmação de alteração de senha do Facebook.",1,19/03/2026,1
30265,8,spam SMS Me mandou um SMS pedindo código,1,19/03/2026,1
1432243771,8,"de golpe Ligação recebida em 17/03 Se passando por autoridades investigando esquema de lavagem de dinheiro em Brasília, apreenderam cartões clonados na casa de um político e afirmaram uma conta ter sido aberta no meu nome.",1,19/03/2026,1
1432243771,8,"de golpe Já ligaram diversas vezes dizendo que era da polícia e estavam investigando caso de lavagem de dinheiro, tinham meus dados e a Bina que aparece é de número da delegacia de Bauru, da outra vez foi de Brasília. Fiquei mudo e desligaram. Não duvido nada que tbm tenha policiais envolvidos, neste país tudo é possível.",1,19/03/2026,3
1432243771,8,"Policial foi avaliado como Tentativa de golpe No dia 11/03 recebi ligação da polícia falando que minha conta bancaria foi utilizado para lavagem de dinheiro. Era de Bauru e falei que iria até eles e eles transferiram ligação para ""Brasilia"" dizendo que essas confirmações será feito ""remotamente"" já que não resido na cidade. Sendo que eu nem havia falado pra ele onde eu residia.",1,19/03/2026,2
1432243771,8,"de golpe Ligou se passando pela secretária de segurança publica,como sei que eles pegaram meus dados através do meu CNPJ, nem deixei ele falar e comecei a chorar que depois que o governo Lula entrou tive que fechar a minha empresa, fui processado por um sindicato empoderado pelo Lula e por 2 vezes roubaram meu celular para tomar cervejinha, tudo isso é verdade e desliguei",1,19/03/2026,2
1432243771,8,"Policial como Número sério Ligaram no meu celular querendo falar com meu pai, me disse que seria apenas com ele.",0,19/03/2026,0
1432243771,8,Policial foi avaliado como Tentativa de golpe Ligaram para mim em de manhã se passando pela Polícia Federal. Tinham os dados pessoais e desligaram em seguida.,1,19/03/2026,3
